# eta_low, eta_high, pt_low, pt_high, correction, uncertainty
-2.5   -2.0   10.0  20.0  0.806557357311 0.0180196290542
-2.0   -1.566 10.0  20.0  0.828571438789 0.0182790616195
-1.566 -1.444 10.0  20.0  1.03286385536  0.106278969347
-1.444 -0.8   10.0  20.0  1.00775194168  0.0272663283234
-0.8   0.0    10.0  20.0  0.94072163105  0.0257409592209
0.0    0.8    10.0  20.0  0.945876300335 0.0257409592209
0.8    1.444  10.0  20.0  0.989769816399 0.0272663283234
1.444  1.566  10.0  20.0  1.03398060799  0.106278969347
1.566  2.0    10.0  20.0  0.827485382557 0.0182790616195
2.0    2.5    10.0  20.0  0.797014951706 0.0180196290542
-2.5   -2.0   20.0  35.0  0.88245934248  0.0101198259436
-2.0   -1.566 20.0  35.0  0.927487373352 0.0176260918721
-1.566 -1.444 20.0  35.0  1.00759494305  0.109912699864
-1.444 -0.8   20.0  35.0  0.972039461136 0.013293087796
-0.8   0.0    20.0  35.0  0.952998399734 0.0150816442813
0.0    0.8    20.0  35.0  0.981996715069 0.0150816442813
0.8    1.444  20.0  35.0  0.975206613541 0.013293087796
1.444  1.566  20.0  35.0  0.974874377251 0.109912699864
1.566  2.0    20.0  35.0  0.908937633038 0.0176260918721
2.0    2.5    20.0  35.0  0.863321781158 0.0101198259436
-2.5   -2.0   35.0  50.0  0.918840587139 0.00903908258991
-2.0   -1.566 35.0  50.0  0.966987609863 0.00730306309988
-1.566 -1.444 35.0  50.0  0.988195598125 0.0166870602707
-1.444 -0.8   35.0  50.0  0.974666655064 0.00686833231553
-0.8   0.0    35.0  50.0  0.953457474709 0.00472981124539
0.0    0.8    35.0  50.0  0.979811549187 0.00472981124539
0.8    1.444  35.0  50.0  0.97463285923  0.00686833231553
1.444  1.566  35.0  50.0  0.966386556625 0.0166870602707
1.566  2.0    35.0  50.0  0.95782315731  0.00730306309988
2.0    2.5    35.0  50.0  0.907801389694 0.00903908258991
-2.5   -2.0   50.0  90.0  0.940397322178 0.00700136278822
-2.0   -1.566 50.0  90.0  0.980964481831 0.00561477853273
-1.566 -1.444 50.0  90.0  0.995391726494 0.0240068358257
-1.444 -0.8   50.0  90.0  0.971674859524 0.0186735224927
-0.8   0.0    50.0  90.0  0.953086435795 0.0168857486142
0.0    0.8    50.0  90.0  0.977528095245 0.0168857486142
0.8    1.444  50.0  90.0  0.97893434763  0.0186735224927
1.444  1.566  50.0  90.0  0.979907274246 0.0240068358257
1.566  2.0    50.0  90.0  0.968553483486 0.00561477853273
2.0    2.5    50.0  90.0  0.937662363052 0.00700136278822
-2.5   -2.0   90.0  150.0 1.05108559132  0.0222742310261
-2.0   -1.566 90.0  150.0 1.00592422485  0.0215595581354
-1.566 -1.444 90.0  150.0 1.10410559177  0.0495688722273
-1.444 -0.8   90.0  150.0 0.98948597908  0.00867577650139
-0.8   0.0    90.0  150.0 0.975495934486 0.0126070521959
0.0    0.8    90.0  150.0 1.0118906498   0.0127268449853
0.8    1.444  90.0  150.0 1.01072704792  0.00888880187216
1.444  1.566  90.0  150.0 1.00716328621  0.0494349504371
1.566  2.0    90.0  150.0 0.988262891769 0.0215595581354
2.0    2.5    90.0  150.0 1.02135682106  0.0222742310261
-2.5   -2.0   150.0 500.0 1.05108559132  0.0224317920679
-2.0   -1.566 150.0 500.0 1.00592422485  0.0217223036202
-1.566 -1.444 150.0 500.0 1.10410559177  0.0496398733023
-1.444 -0.8   150.0 500.0 0.98948597908  0.00907265261538
-0.8   0.0    150.0 500.0 0.975495934486 0.0128833882441
0.0    0.8    150.0 500.0 1.0118906498   0.0130006350174
0.8    1.444  150.0 500.0 1.01072704792  0.00927656867057
1.444  1.566  150.0 500.0 1.00716328621  0.0495061435814
1.566  2.0    150.0 500.0 0.988262891769 0.0217223036202
2.0    2.5    150.0 500.0 1.02135682106  0.0224317920679
