# ptlow, pthigh, etalow, etahigh, correction, uncertainty
25.0  28.0  -2.5    -2.0    0.318209644077 0.0167580072604
28.0  30.0  -2.5    -2.0    0.782006787309 0.0253691869808
30.0  32.0  -2.5    -2.0    0.931876824646 0.0261063904479
32.0  34.0  -2.5    -2.0    1.00007708308  0.0262486060771
34.0  36.0  -2.5    -2.0    0.987091804456 0.0248549050298
36.0  38.0  -2.5    -2.0    1.00199185581  0.0248188263069
38.0  40.0  -2.5    -2.0    0.993657456202 0.0239511785167
40.0  42.0  -2.5    -2.0    0.984231102342 0.0235098290142
42.0  44.0  -2.5    -2.0    0.990796261802 0.0247450053598
44.0  46.0  -2.5    -2.0    0.98223126178  0.0236848951757
46.0  48.0  -2.5    -2.0    0.970700546088 0.0234210462049
48.0  50.0  -2.5    -2.0    0.950438944356 0.0243489140536
50.0  55.0  -2.5    -2.0    0.962452820737 0.0301694408883
55.0  60.0  -2.5    -2.0    0.95869492875  0.0293553776415
60.0  65.0  -2.5    -2.0    0.939173719194 0.0310166874774
65.0  70.0  -2.5    -2.0    0.948073974583 0.0476707634954
70.0  80.0  -2.5    -2.0    0.94437939417  0.0308678060467
80.0  90.0  -2.5    -2.0    0.88852215991  0.0309120012623
90.0  100.0 -2.5    -2.0    0.910805231356 0.0256476767655
100.0 120.0 -2.5    -2.0    0.935020549107 0.0262254759827
120.0 200.0 -2.5    -2.0    0.932795797014 0.0257933470672
25.0  28.0  -2.0    -1.8    0.547537670741 0.0248246006975
28.0  30.0  -2.0    -1.8    0.828380589632 0.0256989024875
30.0  32.0  -2.0    -1.8    0.913517369331 0.0264455349351
32.0  34.0  -2.0    -1.8    0.90295448619  0.0238573256658
34.0  36.0  -2.0    -1.8    0.93069309987  0.0233574133733
36.0  38.0  -2.0    -1.8    0.924356622205 0.0255792287994
38.0  40.0  -2.0    -1.8    0.938806040705 0.0250806971321
40.0  42.0  -2.0    -1.8    0.944807491993 0.0222889121005
42.0  44.0  -2.0    -1.8    0.943148803645 0.0219822041301
44.0  46.0  -2.0    -1.8    0.945478324653 0.0221284731413
46.0  48.0  -2.0    -1.8    0.943924425845 0.0236290373739
48.0  50.0  -2.0    -1.8    0.94317607546  0.0290644621906
