# ptlow, pthigh, |eta|low, |eta|high, correction, uncertainty
20.0 25.0  0.0 0.9 0.993173360825 0.00264246541562
25.0 30.0  0.0 0.9 0.986990272999 0.0463162108996
30.0 40.0  0.0 0.9 0.98759585619  0.000368671338913
40.0 50.0  0.0 0.9 0.989776790142 0.000299823159258
50.0 60.0  0.0 0.9 0.98474919796  0.000785220205141
60.0 120.0 0.0 0.9 0.99136954546  0.00162634248332
20.0 25.0  0.9 1.2 0.985596001148 0.0155292736815
25.0 30.0  0.9 1.2 0.984685599804 0.0016991535312
30.0 40.0  0.9 1.2 0.983914315701 0.00059994734093
40.0 50.0  0.9 1.2 0.983264863491 0.000466808898308
50.0 60.0  0.9 1.2 0.980582118034 0.00142346364301
60.0 120.0 0.9 1.2 0.983879268169 0.00296825258313
20.0 25.0  1.2 2.1 0.990862667561 0.00187086693978
25.0 30.0  1.2 2.1 0.990916669369 0.000941093394891
30.0 40.0  1.2 2.1 0.992066264153 0.0205941533829
40.0 50.0  1.2 2.1 0.993846774101 0.000274387591142
50.0 60.0  1.2 2.1 0.985654652119 0.00101878912692
60.0 120.0 1.2 2.1 0.988583981991 0.00237973750793
20.0 25.0  2.1 2.4 0.981500983238 0.00309170594171
25.0 30.0  2.1 2.4 0.979109048843 0.0532871336659
30.0 40.0  2.1 2.4 0.971526265144 0.00204199328394
40.0 50.0  2.1 2.4 0.974775671959 0.00608326432164
50.0 60.0  2.1 2.4 0.967651247978 0.00281669248917
60.0 120.0 2.1 2.4 0.963198840618 0.00571805788931
