# ptlow, pthigh, |eta|low, |eta|high, correction, uncertainty
20.0 25.0  0.0 0.9 0.98772329092  0.00223566532268
25.0 30.0  0.0 0.9 0.993733227253 0.00119026740242
30.0 40.0  0.0 0.9 0.994051933289 0.000385131125001
40.0 50.0  0.0 0.9 0.995377540588 0.00021463779964
50.0 60.0  0.0 0.9 0.996878147125 0.000362606750058
60.0 120.0 0.0 0.9 0.998548030853 0.000463344944528
20.0 25.0  0.9 1.2 0.993162155151 0.00356980614819
25.0 30.0  0.9 1.2 1.00100362301  0.00205263242659
30.0 40.0  0.9 1.2 0.999295353889 0.000699108464775
40.0 50.0  0.9 1.2 0.997179329395 5.33130759906e-06
50.0 60.0  0.9 1.2 0.999354124069 0.00059941805557
60.0 120.0 0.9 1.2 0.999297440052 0.000770996586632
20.0 25.0  1.2 2.1 0.989716768265 0.00168398010159
25.0 30.0  1.2 2.1 0.994223177433 0.000994674672272
30.0 40.0  1.2 2.1 0.997133612633 0.00038062420985
40.0 50.0  1.2 2.1 0.997530579567 0.000159307890451
50.0 60.0  1.2 2.1 0.997971892357 0.000338095685174
60.0 120.0 1.2 2.1 0.999016821384 0.000456001008975
20.0 25.0  2.1 2.4 0.975340843201 0.00294485857916
25.0 30.0  2.1 2.4 0.985961079597 0.00176224817119
30.0 40.0  2.1 2.4 0.993083417416 0.000687487379131
40.0 50.0  2.1 2.4 0.996769785881 0.000437472607306
50.0 60.0  2.1 2.4 0.997456371784 0.000765855743855
60.0 120.0 2.1 2.4 1.00151693821  0.00112640068139
