# ptlow, pthigh, |eta|low, |eta|high, correction, uncertainty
20.0 25.0  0.0 0.9 0.981144011021 0.00228262752728
25.0 30.0  0.0 0.9 0.992791235447 0.00122047913443
30.0 40.0  0.0 0.9 0.993452489376 0.000396038205236
40.0 50.0  0.0 0.9 0.995199501514 0.000130213682023
50.0 60.0  0.0 0.9 0.996716141701 0.000373701970006
60.0 120.0 0.0 0.9 0.999063909054 0.000472043555637
20.0 25.0  0.9 1.2 0.997661709785 0.00356296234021
25.0 30.0  0.9 1.2 0.999726474285 0.00208128122562
30.0 40.0  0.9 1.2 0.999598383904 0.000705031342465
40.0 50.0  0.9 1.2 0.998324036598 0.00029969097187
50.0 60.0  0.9 1.2 0.998887181282 0.000611352341874
60.0 120.0 0.9 1.2 0.99890768528  0.000794028545448
20.0 25.0  1.2 2.1 0.993686676025 0.00167587554906
25.0 30.0  1.2 2.1 0.997960448265 0.0010033123822
30.0 40.0  1.2 2.1 0.998979926109 0.000379652368269
40.0 50.0  1.2 2.1 0.998602747917 8.12113768921e-06
50.0 60.0  1.2 2.1 0.998799562454 0.000340431971434
60.0 120.0 1.2 2.1 0.999453127384 0.000460717073598
20.0 25.0  2.1 2.4 0.99423289299  0.00285795672051
25.0 30.0  2.1 2.4 0.999097943306 0.00174574881129
30.0 40.0  2.1 2.4 1.00006270409  0.000691813340311
40.0 50.0  2.1 2.4 1.0002207756   0.00025958343928
50.0 60.0  2.1 2.4 1.00000286102  0.000786730982617
60.0 120.0 2.1 2.4 1.00152933598  0.00112289410322
