# etalow, etahigh, correction, error_down, error_up
-2.4 -2.1 0.991236517958 0.000748552490609 0.000754066746925
-2.1 -1.6 0.99485338707  0.00020017468183  0.000200327959501
-1.6 -1.2 0.996412779464 0.000173235154724 0.000174265783913
-1.2 -0.9 0.997157363898 0.000186385673272 0.00018534187433
-0.9 -0.6 0.997512072169 8.95796474211e-05 8.9759255422e-05
-0.6 -0.3 0.997559500559 8.66950957249e-05 8.73433580952e-05
-0.3 -0.2 0.996745306623 0.000163848824742 0.000164962976338
-0.2 0.2  0.996996496582 7.29397295898e-05 7.27173381037e-05
0.2  0.3  0.997719693184 0.000165896488907 0.000166809334762
0.3  0.6  0.998603890292 8.35330864584e-05 8.448103824e-05
0.6  0.9  0.998321431709 9.21934642295e-05 9.22172975967e-05
0.9  1.2  0.997682355448 0.000181900423597 0.000180505390778
1.2  1.6  0.995252401826 0.00017926008946  0.000179772853865
1.6  2.1  0.994919374845 0.000184303401036 0.00018472643154
2.1  2.4  0.987333648567 0.000729069240653 0.000736922329151
