# ptlow, pthigh, |eta|low, |eta|high, correction, uncertainty
26.0  30.0  0.0 0.9 0.900846600533 0.000552831528283
30.0  40.0  0.0 0.9 0.92535251379  0.000181348952757
40.0  50.0  0.0 0.9 0.937884569168 0.000138518522311
50.0  60.0  0.0 0.9 0.940786361694 0.000318391731745
60.0  120.0 0.0 0.9 0.943431317806 0.000483862658043
120.0 200.0 0.0 0.9 0.932521879673 0.00229375071386
200.0 500.0 0.0 0.9 0.9226770401   0.00614642000663
26.0  30.0  0.9 1.2 0.886678278446 0.00130396819804
30.0  40.0  0.9 1.2 0.924143910408 0.000350927082823
40.0  50.0  0.9 1.2 0.941101491451 0.000241186910657
50.0  60.0  0.9 1.2 0.945298135281 0.000512118216832
60.0  120.0 0.9 1.2 0.944792330265 0.00123932289723
120.0 200.0 0.9 1.2 0.929894626141 0.00335069363614
200.0 500.0 0.9 1.2 0.919489324093 0.00814096981966
26.0  30.0  1.2 2.1 0.822641193867 0.000925063349993
30.0  40.0  1.2 2.1 0.861855268478 0.000306877210385
40.0  50.0  1.2 2.1 0.885054826736 0.000211012929298
50.0  60.0  1.2 2.1 0.891073048115 0.00045361742245
60.0  120.0 1.2 2.1 0.894912958145 0.000841029467986
120.0 200.0 1.2 2.1 0.898165404797 0.00324923507013
200.0 500.0 1.2 2.1 0.884506881237 0.0122758234303
26.0  30.0  2.1 2.4 0.72346329689  0.00204599732201
30.0  40.0  2.1 2.4 0.781011462212 0.000719861530485
40.0  50.0  2.1 2.4 0.812527358532 0.000574667789412
50.0  60.0  2.1 2.4 0.822586774826 0.00123700345114
60.0  120.0 2.1 2.4 0.827857494354 0.00219967034653
120.0 200.0 2.1 2.4 0.839668929577 0.0103181698966
200.0 500.0 2.1 2.4 0.803844988346 0.0266607420848
