# BEGIN DATA
Process=pp -> aj
Proc=aj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2018-06-26 19:08:43
# END DATA

# BEGIN HISTO1D aj_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 2.045222e+03 6.689080e-02 6.689080e-02
4.000000e+01 5.000000e+01 7.118377e+02 2.972281e-02 2.972281e-02
5.000000e+01 6.000000e+01 3.022331e+02 1.630476e-02 1.630476e-02
6.000000e+01 7.000000e+01 1.465305e+02 9.911302e-03 9.911302e-03
7.000000e+01 8.000000e+01 7.814950e+01 6.525821e-03 6.525821e-03
8.000000e+01 9.000000e+01 4.479439e+01 2.293193e-03 2.293193e-03
9.000000e+01 1.000000e+02 2.717076e+01 1.472882e-03 1.472882e-03
1.000000e+02 1.100000e+02 1.724547e+01 1.038256e-03 1.038256e-03
1.100000e+02 1.200000e+02 1.136397e+01 7.612717e-04 7.612717e-04
1.200000e+02 1.300000e+02 7.726305e+00 5.737349e-04 5.737349e-04
1.300000e+02 1.400000e+02 5.394730e+00 4.418883e-04 4.418883e-04
1.400000e+02 1.500000e+02 3.854547e+00 3.465353e-04 3.465353e-04
1.500000e+02 2.000000e+02 1.718750e+00 8.515746e-05 8.515746e-05
2.000000e+02 2.500000e+02 4.854143e-01 3.509533e-05 3.509533e-05
2.500000e+02 3.000000e+02 1.732133e-01 1.721135e-05 1.721135e-05
3.000000e+02 3.500000e+02 7.204812e-02 2.437735e-06 2.437735e-06
3.500000e+02 4.000000e+02 3.342926e-02 1.285586e-06 1.285586e-06
4.000000e+02 4.500000e+02 1.682354e-02 7.724460e-07 7.724460e-07
4.500000e+02 5.000000e+02 9.017532e-03 4.921106e-07 4.921106e-07
5.000000e+02 5.500000e+02 5.083920e-03 3.280421e-07 3.280421e-07
5.500000e+02 6.000000e+02 2.986392e-03 2.280185e-07 2.280185e-07
6.000000e+02 6.500000e+02 1.815303e-03 1.024053e-07 1.024053e-07
6.500000e+02 7.000000e+02 1.135909e-03 6.665341e-08 6.665341e-08
7.000000e+02 7.500000e+02 7.285264e-04 4.689108e-08 4.689108e-08
