# BEGIN DATA
Process=pp -> e~vj
Proc=pnj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:02:19
# END DATA

# BEGIN HISTO1D pnj_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 4.696015e+01 1.730942e-03 1.730942e-03
4.000000e+01 5.000000e+01 2.703429e+01 1.007065e-03 1.007065e-03
5.000000e+01 6.000000e+01 1.655220e+01 6.952963e-04 6.952963e-04
6.000000e+01 7.000000e+01 1.055632e+01 5.048037e-04 5.048037e-04
7.000000e+01 8.000000e+01 6.944150e+00 3.767004e-04 3.767004e-04
8.000000e+01 9.000000e+01 4.686206e+00 2.165024e-04 2.165024e-04
9.000000e+01 1.000000e+02 3.233873e+00 1.388249e-04 1.388249e-04
1.000000e+02 1.100000e+02 2.276562e+00 1.051367e-04 1.051367e-04
1.100000e+02 1.200000e+02 1.631766e+00 8.168347e-05 8.168347e-05
1.200000e+02 1.300000e+02 1.189128e+00 6.461277e-05 6.461277e-05
1.300000e+02 1.400000e+02 8.796223e-01 5.178525e-05 5.178525e-05
1.400000e+02 1.500000e+02 6.597263e-01 4.201020e-05 4.201020e-05
1.500000e+02 2.000000e+02 3.212911e-01 1.103018e-05 1.103018e-05
2.000000e+02 2.500000e+02 1.018964e-01 4.915316e-06 4.915316e-06
2.500000e+02 3.000000e+02 3.880303e-02 2.495327e-06 2.495327e-06
3.000000e+02 3.500000e+02 1.682765e-02 3.695227e-07 3.695227e-07
3.500000e+02 4.000000e+02 8.036261e-03 1.996416e-07 1.996416e-07
4.000000e+02 4.500000e+02 4.132466e-03 1.215095e-07 1.215095e-07
4.500000e+02 5.000000e+02 2.253375e-03 7.813630e-08 7.813630e-08
5.000000e+02 5.500000e+02 1.287987e-03 5.221389e-08 5.221389e-08
5.500000e+02 6.000000e+02 7.654629e-04 3.601707e-08 3.601707e-08
6.000000e+02 6.500000e+02 4.699277e-04 1.632235e-08 1.632235e-08
6.500000e+02 7.000000e+02 2.965405e-04 1.082747e-08 1.082747e-08
